State/Territory,Trips,Spending,Month,Year
Destination Perth,379,578,October,2023
Regional WA,595,556,October,2023
WA,937,"1,134",October,2023
TAS,198,344,October,2023
NT,np,np,October,2023
ACT,313,257,October,2023
Sydney,950,"1,095",November,2022
Regional NSW,"1,996","1,396",November,2022
NSW,"2,892","2,492",November,2022
Melbourne,742,963,November,2022
Regional VIC,"1,327",692,November,2022
VIC,"1,987","1,655",November,2022
Brisbane & Gold Coast,962,"1,114",November,2022
Regional QLD,"1,050","1,021",November,2022
QLD,"1,961","2,134",November,2022
Adelaide,267,365,November,2022
Regional SA,310,205,November,2022
SA,554,570,November,2022
Destination Perth,353,477,November,2022
Regional WA,494,448,November,2022
WA,806,925,November,2022
TAS,228,299,November,2022
NT,100,203,November,2022
ACT,246,179,November,2022
Sydney,976,"1,101",November,2023
Regional NSW,"2,151","1,336",November,2023
NSW,"3,030","2,437",November,2023
Melbourne,811,869,November,2023
Regional VIC,"1,490",749,November,2023
VIC,"2,264","1,618",November,2023
Brisbane & Gold Coast,953,"1,000",November,2023
Regional QLD,"1,056","1,081",November,2023
QLD,"1,928","2,081",November,2023
Adelaide,283,321,November,2023
Regional SA,317,226,November,2023
SA,579,547,November,2023
Destination Perth,423,622,November,2023
Regional WA,539,594,November,2023
WA,927,"1,216",November,2023
TAS,306,339,November,2023
NT,np,np,November,2023
ACT,339,304,November,2023
Sydney,910,902,December,2022
Regional NSW,"2,054","1,276",December,2022
NSW,"2,889","2,178",December,2022
Melbourne,735,895,December,2022
Regional VIC,"1,677",903,December,2022
VIC,"2,349","1,797",December,2022
Brisbane & Gold Coast,934,937,December,2022
Regional QLD,"1,125","1,150",December,2022
QLD,"2,022","2,088",December,2022
Adelaide,210,272,December,2022
Regional SA,378,210,December,2022
SA,561,482,December,2022
Destination Perth,458,469,December,2022
Regional WA,558,440,December,2022
WA,977,909,December,2022
TAS,242,240,December,2022
NT,np,np,December,2022
ACT,207,153,December,2022
Sydney,935,"1,061",December,2023
Regional NSW,"2,274","1,738",December,2023
NSW,"3,127","2,798",December,2023
Melbourne,850,"1,332",December,2023
Regional VIC,"1,548",848,December,2023
VIC,"2,332","2,180",December,2023
Brisbane & Gold Coast,947,"1,009",December,2023
Regional QLD,"1,243","1,183",December,2023
QLD,"2,139","2,192",December,2023
Adelaide,265,278,December,2023
Regional SA,388,177,December,2023
SA,636,455,December,2023
Destination Perth,422,657,December,2023
Regional WA,573,521,December,2023
WA,978,"1,178",December,2023
TAS,326,421,December,2023
NT,np,np,December,2023
ACT,224,156,December,2023
